arbres_espece,arbres_genre,com_adresse,lat,lon,species_count,rarity_norm,size_raw,size_norm,nn_dist_m,isolation_norm,conservation_score,cluster
sylvatica,Fagus,2 Place Emile Male,48.84488752280194,2.3536691618715215,11,0.06698564593301437,3.0,0.0,796.7202628685094,0.45411245988068655,0.14518449175037693,-1
atlantica,Cedrus,2 Boulevard Henri IV,48.8497459363784,2.3600393665237775,8,0.10197368421052633,3.0,0.0,433.061169311544,0.2468350336250055,0.07684799709108606,-1
frainetto,Quercus,21 Rue Rottembourg,48.83881631672055,2.4065668582736595,2,0.4868421052631579,14.0,0.26190476190476186,991.2667219111765,0.5649995242549027,0.5419469322819996,-1
atlantica,Cedrus,Carrefour de Longchamp,48.863390731261134,2.2404811309796577,8,0.10197368421052633,25.0,0.5238095238095238,34.66350614134302,0.01975741144735072,0.20308863411753075,-1
x hispanica,Platanus,,48.829253212711265,2.41318206133542,39,0.0,27.0,0.5714285714285714,371.8696959239452,0.2119572831787963,0.2472719387711187,-1
grandiflora,Magnolia,Chemin de Ceinture du lac Inferieur,48.85867307128757,2.2583393528092057,6,0.14473684210526316,10.0,0.16666666666666666,285.6364101322691,0.16280626824983974,0.13626254693603404,-1
ilex,Quercus,10 Avenue Foch,48.873680917218074,2.2902524392466423,4,0.23026315789473686,11.0,0.19047619047619044,32.356371249935854,0.018442396943964882,0.13348901465767107,-1
x hispanica,Platanus,7 Avenue Winston Churchill,48.86524779924705,2.3133517483388184,39,0.0,30.0,0.6428571428571428,17.391631648967447,0.0099128351537293,0.1917031530199807,-1
distichum,Taxodium,31 Route de ceinture du Lac Daumesnil,48.8326105737739,2.411452735786781,4,0.23026315789473686,18.0,0.3571428571428571,35.035592412643354,0.019969492173576603,0.2050448114186214,0
decurrens,Calocedrus,6 Rue Paul Dukas,48.84087770055659,2.3921128567976853,2,0.4868421052631579,20.0,0.40476190476190477,1555.9099931012952,0.8868333683095763,0.7396435260273301,-1
monspessulanum,Acer,Cimetiere Du Pere Lachaise / Div 77,48.86193298907538,2.39871043491187,2,0.4868421052631579,11.0,0.19047619047619044,29.64454598111821,0.01689671811416383,0.2783755557899319,-1
distichum,Taxodium,Carrefour de Longchamp,48.86326316465342,2.2407247706019686,4,0.23026315789473686,30.0,0.6428571428571428,34.66350614134302,0.01975741144735072,0.3265079235138676,-1
paniculata,Koelreuteria,10 Avenue Foch,48.87354080359454,2.290450184951525,1,1.0,10.0,0.16666666666666666,32.356371249935854,0.018442396943964882,0.5599919585758979,-1
hippocastanum,Aesculus,Cimetiere Du Pere Lachaise / Div 76,48.85974252900819,2.399983132227271,8,0.10197368421052633,22.0,0.45238095238095233,317.02936020281703,0.18069953699654023,0.24117098398467535,-1
sinensis,Toona,,48.89335545445399,2.3468204796812233,1,1.0,16.0,0.30952380952380953,1018.5353863741565,0.5805420438493725,0.8599064393793459,-1
decurrens,Calocedrus,41 Avenue Gabriel,48.86857287601004,2.313325593912662,2,0.4868421052631579,22.0,0.45238095238095233,562.7014147355843,0.3207270299664654,0.5190600110390267,-1
koraiensis,Celtis,2 Rue Jean Formige,48.84264131753845,2.296091104016332,2,0.4868421052631579,18.0,0.3571428571428571,89.05862568655091,0.05076139451820065,0.363688945937044,-1
